导演,演员2,演员1,电影,演员3,内容,评级,体裁,,,,
John A. Davis,Rob Paulsen,Martin Short,Jimmy Neutron: Boy Genius?,Andrea Martin,alien|boy genius|children|genius|rescue,G,Action,,,Comedy,
Ken Annakin,Richard Beymer,Richard Burton,The Longest Day?,Eddie Albert,allies|d day|invasion|normandy|world war two,G,Action,Drama,,,
Ted Post,Gregory Sierra,Linda Harrison,Beneath the Planet of the Apes?,Victor Buono,ape|astronaut|mission|planet|rescue,G,Action,,,,
Don Taylor,M. Emmet Walsh,Roddy McDowall,Escape from the Planet of the Apes?,Sal Mineo,ape|fear|future|spacecraft|spaceship,G,Action,,,,
J. Lee Thompson,Paul Williams,Roddy McDowall,Battle for the Planet of the Apes?,Claude Akins,ape|general|gorilla|outer space|planet of the apes,G,Action,,,,
Kunihiko Yuyama,Eric Stuart,Veronica Taylor,Pokémon 3: The Movie?,Lisa Ortiz,ash|father|mother|pokemon|professor,G,Action,,,,
Richard Fleischer,Richard Anderson,Joseph Cotten,Tora! Tora! Tora!?,James Whitmore,attack|hawaii|navy|pearl harbor|u.s. navy,G,Action,Drama,,,
Sergey Bondarchuk,Dan O'Herlihy,Rod Steiger,Waterloo?,Jack Hawkins,battle|costume drama|final battle|napoleon|napoleon bonaparte,G,Action,Drama,,,
Richard Williams,Kenneth Williams,Donald Pleasence,The Princess and the Cobbler?,Clive Revill,cobbler|desert|gold|princess|thief,G,Action,,,Comedy,
Guy Hamilton,Lois Maxwell,Desmond Llewelyn,Diamonds Are Forever?,Jill St. John,cat|diamond|ford mustang|james bond 007|yanked off bikini top,GP,Action,,,,
Peter R. Hunt,George Lazenby,Telly Savalas,On Her Majesty's Secret Service?,Desmond Llewelyn,bond girl|british|mission|portugal|switzerland,M,Action,,,,
Geoffrey Sax,Sophie Okonedo,Alex Pettyfer,Alex Rider: Operation Stormbreaker?,Ashley Walters,14 year old|british|gadget|spy|training,PG,Action,,,,
Richard Donner,Margot Kidder,Marlon Brando,Superman?,Ned Beatty,1970s|clark kent|planet|superhero|year 1978,PG,Action,,Drama,,
Lewis Gilbert,Desmond Llewelyn,Caroline Munro,The Spy Who Loved Me?,Barbara Bach,1970s|cult film|official james bond series|submarine|world war three,PG,Action,,,,
